CustomerID,Recency,Frequency,Monetary
12346.0,269,1,77183.6
12347.0,260,1,475.39
12348.0,19,3,1430.24
12352.0,15,5,1209.66
12353.0,147,1,89.0
12354.0,176,1,1079.4
12356.0,269,1,2271.62
12359.0,1,1,2876.85
12360.0,56,2,1618.28
12361.0,230,1,189.9
12362.0,16,3,1804.33
12363.0,53,1,252.9
12364.0,21,2,703.72
12365.0,234,2,641.38
12370.0,301,2,1868.02
12372.0,15,2,782.34
12377.0,258,2,1628.12
12379.0,25,2,852.24
12380.0,21,1,626.01
12383.0,181,3,1099.95
12388.0,19,3,2159.31
12390.0,23,1,549.84
12393.0,15,2,698.5
12395.0,55,4,990.17
12397.0,78,1,1214.81
12399.0,205,1,288.05
12402.0,266,1,225.6
12405.0,92,1,1710.39
12407.0,77,3,688.3
12408.0,119,3,1491.77
12409.0,22,2,4865.59
12412.0,18,3,1226.88
12413.0,179,1,84.65
12414.0,171,1,242.8
12415.0,57,9,74976.34
12417.0,50,4,1613.77
12418.0,56,1,668.58
12421.0,58,3,628.56
12422.0,112,2,655.86
12423.0,44,5,1310.39
12424.0,106,2,1760.96
12425.0,21,1,777.2
12426.0,138,1,582.73
12428.0,197,2,967.6
12429.0,116,2,1563.38
12431.0,80,8,3432.4
12432.0,114,3,4016.66
12434.0,28,2,806.14
12435.0,23,2,7829.89
12437.0,21,8,2156.13
12438.0,84,1,890.0699999999999
12444.0,29,2,2432.74
12446.0,1,1,1002.3100000000001
12450.0,116,1,101.88
12451.0,268,1,2919.5099999999998
12453.0,77,1,707.09
12455.0,16,3,1989.4
12456.0,74,2,2265.4
12457.0,25,6,2166.88
12458.0,14,2,947.4
12463.0,118,2,635.22
12464.0,50,5,566.65
12465.0,113,1,440.94
12468.0,260,1,220.59
12471.0,21,13,6819.799999999999
12472.0,82,4,3296.3
12473.0,58,1,514.06
12474.0,81,11,3704.78
12476.0,28,6,3414.07
12477.0,44,2,6478.08
12480.0,86,2,1328.7
12481.0,123,6,3339.29
12483.0,149,2,438.6
12484.0,44,3,2524.48
12488.0,19,1,553.39
12490.0,44,4,2185.27
12492.0,48,1,126.39000000000001
12493.0,109,2,433.74
12494.0,139,3,658.0400000000001
12497.0,25,1,1043.1
12498.0,1,1,247.25
12500.0,50,4,1179.06
12502.0,212,1,702.8
12506.0,176,1,73.5
12507.0,77,2,1258.06
12509.0,227,1,176.5
12510.0,86,2,982.5699999999999
12513.0,56,1,612.29
12514.0,210,1,1017.68
12515.0,296,1,383.7
12516.0,21,1,728.86
12517.0,17,1,417.2
12518.0,20,2,849.73
12520.0,22,4,1646.84
12521.0,86,1,599.68
12523.0,22,6,900.4300000000001
12524.0,105,3,1215.32
12527.0,25,3,348.71000000000004
12528.0,58,3,1009.24
12530.0,177,1,417.6
12539.0,205,2,2801.84
12540.0,21,7,6445.12
12541.0,116,1,223.74
12545.0,19,2,1000.39
12546.0,21,1,760.2
12547.0,141,1,48.4
12548.0,109,1,95.19999999999999
12550.0,22,1,964.83
12551.0,301,1,168.0
12553.0,53,5,1817.59
12557.0,199,1,817.5
12559.0,263,1,486.11
12560.0,55,2,1436.31
12562.0,25,3,1343.8700000000001
12564.0,204,1,456.9
12565.0,232,1,145.92
12566.0,29,1,351.65
12567.0,51,3,3206.37
12569.0,50,7,921.3
12573.0,170,1,160.54000000000002
12574.0,259,1,218.45
12576.0,93,1,239.2
12577.0,302,1,195.89
12578.0,273,1,1608.66
12579.0,21,1,440.42
12582.0,182,2,511.36
12583.0,14,5,1790.39
12584.0,1,3,744.96
12585.0,178,2,2040.1
12589.0,88,1,131.5
12591.0,260,1,452.84999999999997
12593.0,52,1,96.3
12594.0,135,6,1764.99
12597.0,211,1,516.15
12598.0,14,2,1082.62
12599.0,108,3,396.28
12600.0,27,7,1715.02
12601.0,147,2,251.60000000000002
12604.0,22,2,254.18
12609.0,21,2,614.05
12610.0,50,1,309.5
12612.0,17,1,704.0400000000001
12613.0,141,4,1462.52
12615.0,15,2,1211.3899999999999
12616.0,240,1,255.6
12619.0,21,6,2370.7
12620.0,24,2,939.3199999999999
12621.0,24,13,9024.0
12622.0,175,1,180.1
12624.0,49,2,641.13
12625.0,263,1,1716.62
12626.0,56,5,3711.16
12627.0,52,3,1470.41
12633.0,140,2,1729.55
12637.0,182,4,2391.75
12639.0,182,1,486.1
12640.0,25,1,764.59
12641.0,59,1,185.9
12642.0,51,1,366.45
12643.0,115,1,250.50000000000003
12645.0,53,2,881.26
12647.0,21,4,1141.6
12649.0,50,2,248.51000000000002
12653.0,92,2,2209.85
12654.0,141,3,337.75
12656.0,16,4,3465.42
12657.0,22,1,618.44
12662.0,51,3,1260.4
